,Unnamed: 0,time_start,time_end,x_start,y_start,x_end,y_end,distance,duration,velocity1,velocity2,var0,var1,var2,type,subject,trial_id,x0_resized,y0_resized,roi
0,0,0.24732,0.31506,13.931,-77.964,18.419,-77.736,3.839,0.06773799999999999,37.049,38.003,0.0,0,0,1,1,-1.0,557,3886,0.0
1,1,0.44706,0.47904,20.301,-77.3,19.992,-77.527,3.2738,0.031988,45.853,6.8612,0.0,0,0,1,1,-1.0,812,3862,0.0
2,2,0.7470600000000001,0.7790699999999999,14.319,-79.874,14.656,-78.514,4.6463,0.032007,65.94,25.075,0.0,0,0,1,1,-1.0,572,3955,0.0
3,3,2.0471,2.1111,28.586,-77.038,23.668000000000006,-82.696,6.146,0.064084,62.055,67.0,0.0,0,0,1,1,-1.0,1143,3853,0.0
4,4,2.1791,2.2471,21.846,-85.07700000000001,20.806,-87.07600000000002,2.837,0.067986,28.188,18.989,0.0,0,0,1,1,-1.0,873,4142,0.0
5,5,4.4071,4.4391,21.819000000000006,-85.186,21.153,-85.242,7.9792,0.031996,110.8,11.969,0.0,0,0,1,1,-1.0,872,4146,0.0
6,6,7.167000000000002,7.199,11.251,-90.274,11.157,-90.059,13.673,0.031987,101.61,4.1941,0.0,0,0,1,1,-1.0,450,4329,0.0
7,7,9.4911,9.559,14.796,-66.668,17.221,-65.819,12.979,0.067989,135.12,21.654,0.0,0,0,1,1,-1.0,591,3480,0.0
8,8,11.919,11.951,34.225,-59.032,34.276,-59.121,10.751,0.031992,79.51899999999998,1.828,0.0,0,0,1,1,-1.0,1369,3205,0.0
9,9,14.211,14.279000000000002,52.31100000000001,-56.111,53.15600000000001,-67.077,9.539,0.067777,99.454,92.882,0.0,0,0,1,1,-1.0,2092,3099,0.0
10,10,14.311,14.347,52.076,-72.633,52.041,-73.063,3.7985,0.036006,58.935,6.8645,0.0,0,0,1,1,-1.0,2083,3694,0.0
11,11,16.570999999999998,16.639,51.396,-78.24,51.603,-88.162,14.356,0.06803200000000001,139.99,83.512,0.0,0,0,1,1,-1.0,2055,3896,0.0
12,12,18.899,19.031,51.152,-104.16,35.27,-114.58,14.636,0.13180999999999998,71.586,82.31,0.0,0,0,1,1,-1.0,2046,4829,0.0
13,13,21.095,21.127,30.002,-111.27,30.004,-111.07,3.5903,0.032014,56.096,3.5777,0.0,0,0,1,1,-1.0,1200,5085,0.0
14,14,21.327,21.359,23.708,-105.11,23.679,-104.91,14.99,0.032005,111.16,3.5949,0.0,0,0,1,1,-1.0,948,4863,0.0
15,15,23.651,23.687,4.9584,-117.88,5.2628,-117.61,24.193,0.036005,190.42,6.5303,0.0,0,0,1,1,-1.0,198,5323,0.0
16,16,23.787,23.851,36.128,-88.309,39.557,-82.271,7.6594,0.06399500000000001,75.715,62.147,0.0,0,0,1,1,-1.0,1445,4259,0.0
17,17,25.979,26.047,35.412,15.423,31.344,20.071,9.909,0.06804299999999999,99.131,51.99100000000001,0.0,0,0,1,1,-1.0,1416,524,4.0
18,18,27.179,27.211,21.53,21.397,21.574,21.37,5.8992,0.031992,43.61600000000001,0.92462,0.0,0,0,1,1,-1.0,861,309,3.0
19,19,27.479,27.511,11.524,22.618,11.458,22.797,1.4332,0.031984,22.394,3.422,0.0,0,0,1,1,-1.0,460,265,0.0
20,20,27.843000000000004,27.879,9.5824,24.289,10.024,24.26,2.5019,0.036025,38.678,7.0411,0.0,0,0,1,1,-1.0,383,205,0.0
21,21,28.179,28.211,12.792,23.905,13.252,23.8,2.2359,0.03198,34.938,8.4546,0.0,0,0,1,1,-1.0,511,219,0.0
22,22,28.479,28.511,16.584,23.382,17.320999999999998,23.358,1.9579,0.03198,30.6,13.211,0.0,0,0,1,1,-1.0,663,238,3.0
23,23,28.911,28.943,22.139,23.23,22.306,23.272,2.1564,0.031993,33.699,3.0834,0.0,0,0,1,1,-1.0,885,243,1.0
24,24,29.175,29.243,26.191,23.478,22.044,25.381,6.5037,0.067987,67.653,38.451,0.0,0,0,1,1,-1.0,1047,234,1.0
25,25,29.811,29.843000000000004,14.491,22.643,14.868,22.645,1.8853,0.032014,29.46,6.7557,0.0,0,0,1,1,-1.0,579,264,3.0
26,26,30.375,30.411,19.621,22.486,19.921,22.696,6.8069,0.036009,105.9,5.8245,0.0,0,0,1,1,-1.0,784,270,3.0
27,27,30.543000000000006,30.611,31.151,26.452,28.151,26.133000000000006,7.6533,0.068011,77.717,25.409,0.0,0,0,1,1,-1.0,1246,127,4.0
28,28,30.843000000000004,30.875,20.097,19.852,20.311,19.97,1.785,0.031993,27.882,4.3652,0.0,0,0,1,1,-1.0,803,365,3.0
29,29,31.043000000000006,31.075,21.609,22.797,21.548,22.826,1.3876,0.031996,21.676,1.2062,0.0,0,0,1,1,-1.0,864,259,0.0
30,30,31.843000000000004,31.875,18.552,21.714,18.355,21.883000000000006,8.2161,0.032001,128.44,4.6382,0.0,0,0,1,1,-1.0,742,298,3.0
31,31,33.207,33.239000000000004,4.0701,19.846,4.1092,19.451,3.78,0.031993,52.902,7.1051,0.0,0,0,1,1,-1.0,162,365,0.0
32,32,33.806999999999995,33.839,4.6593,14.936,4.2156,14.093,2.6205,0.032,37.356,17.045,0.0,0,0,1,1,-1.0,186,542,0.0
33,33,34.339,34.375,4.4578,11.966,4.427,12.152,5.3665,0.036004,83.65299999999998,2.9908,0.0,0,0,1,1,-1.0,178,649,0.0
34,34,34.907,34.939,4.7974,22.323,5.1484,22.292,6.37,0.031997000000000005,99.526,6.311,0.0,0,0,1,1,-1.0,191,276,0.0
